"action.activitystream.comment","コメントを書く"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getcryptokeycommandname","暗号キー取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getcurrentusernamecommandname","現在のユーザーの名前を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getdeliveryagentglobalscommandname","配信エージェント・グローバルを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getenginenamecommandname","Rhapsody エンジン名を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getenginepropertycommandname","エンジン・プロパティを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getenginepropertynamescommandname","エンジンのプロパティ名を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getengineregistrationdatacommandname","エンジン登録データを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getengineversioncommandname","エンジンのバージョンを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.geteventscommandname","イベントを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getfiltermanagerconfigcommandname","フィルタ・マネージャー設定を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getfilterpropertycommandname","フィルタ・プロパティを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getfilterpropertynamescommandname","フィルタ・プロパティを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getfiltertypepropertycommandname","フィルタ・タイプ・プロパティを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getideregistrationdatacommandname","IDE登録データを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getlastmodifiedconfigfilecommandname","設定ファイルの最後の修正を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getlicenseinfocommandname","ライセンス情報を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getlookuptablefailurescommandname","ルックアップ・テーブルの失敗を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getlookuptablepropertiescommandname","ルックアップ・テーブルのプロパティを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getlookuptablevaluescommandname","ルックアップ・テーブル値を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getnotificationschemecommandname","通知スキームを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getnotificationschemelistcommandname","通知スキームのリストを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getpasswordpolicycommandname","パスワード・ポリシーを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getprivatekeycommandname","秘密鍵を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getroutepropertycommandname","ルート・プロパティを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getroutepropertynamescommandname","ルート・プロパティ名を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getroutescommandname","ルートを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getroutewritepermissioncommandname","ルートの書き込み許可を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getsessionidcommandname","セッションIDを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getsystemvariablescommandname","システム変数を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getsystemvariablesconfigvaluescommandname","システム変数設定値を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.gettingauxfilesintheconfig","設定 {1} に {0} 補助ファイルを取得しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.gettingengineproperty","エンジン・プロパティ {0} を取得しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.gettingenginepropertynames","エンジン・プロパティ名を取得しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.gettingfiltermanagerconfig","フィルタ・マネージャ設定を取得しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.gettingmodificationinfoforfile","ファイル ''{0}'' の修正情報を取得しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.gettingnewadminsession","新しいアドミン・セッションを取得しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.gettotalwritepermissioncommandname","トータル書き込み許可を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.gettrustedcertcommandname","信頼証明書を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.gettrustedcertificateldapinfocommandname","信頼証明書LDAP情報を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getuserideaccessrightsname","ユーザーIDEアクセス権を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getusermanagementstorecommandname","ユーザー管理ストア取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getusermanagementstorev34commandname","ユーザー管理ストア v3.4を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getwebserviceapiportcommandname","WebサービスAPIポートを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getwebservicedetailscommandname","Webサービス詳細を取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.getwsdllocationforwebservicecommandname","WebサービスのWSDLロケーションを取得します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.gotconfiguration","設定 ''{0}'' を取得しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.groupdoesnotexist","グループ ''{0}'' は存在しません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.groupwasnotfound","グループ ''{0}'' は見つかりません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.haltcommunicationpointcommandname","コミュニケーションポイントを停止します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.haltenginecommandname","エンジンを停止します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.haltroutecommandname","ルートを終了します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.ideloginattemptfailed","{0} からのRhapsody IDE ログインは失敗しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.ideloginattemptinvalid","{0} からのRhapsody IDE ログインは失敗しました（無効なコマンド）"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.ideloginattemptinvalidrequestpublickey","{0} からのRhapsody IDE ログインは公開鍵を要求します（無効なコマンド）"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.ideloginattemptrequestpublickey","{0}からのRhapsody IDE ログインは公開鍵を要求しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.ideversionnotsupported","IDEバージョン {0} は対応していません。バージョン {1} 若しくはこれ以上が必要です"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.importcomponentnotificationthresholdscommandname","コンポーネント通知閾値を入力します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.importwatchlistcommandname","ウォッチリストを入力します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.incompatibleide","{0} エンジンによって必要とされる機能がIDEで不足しています。 {0} エンジンと互換性のあるIDEを使用してください"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.incompatibleideversion","{1} IDE は {0} エンジンによって必要とされる機能がIDEで不足しています。 {0} エンジンと互換性のあるIDEを使用してください"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.initialisationofmasteradminsocketfailed","マスター・アドミン・ソケットの初期化はできませんでした (port={0, number,####})."
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.initialisingmasteradminsocket","マスター・アドミン・ソケットを初期化しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.installlicensecommandname","ライセンスをインストールします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.invaildwsid","無効なWebサービスID ''{0}''"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.invalidadminsession","無効なアドミン・セッション"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.invalidcolumnname","ルックアップデーブルの列名は数字で開始できません。また、名前には文字、数字、ホワイトスペース以外の文字のみ含められます: {0}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.invalidcommandparam","''{0}'' に無効なコマンド・パラメータがありました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.invalidcommandparameters","無効なコマンド・マラメータ"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.invalidcommandstring","無効なコマンド文字列 ''{0}''"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.invalidcommandstringexception","無効なコマンド文字列"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.invalidcommandtype","タイプはコマンド・タイプ コマンドに対応していません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.invalidconditionalconnector","フィルタ ''{0}'' から無効な条件付きコネクター: {1}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.invalidparamgeneratingnewcert","新規証明書を生成中に無効なパラメータがありました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.invalidpropertynamereserved","無効なプロパティ名。''{0}'' はRhapsodyが使用する予約名です"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.invalidwatchlistidentifier","無効なウォッチリスト識別子 ''{0}''"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.invalidxmlparamtomodifygroupcommand","グループ・コマンドの修正に無効なXMLパラメータが提供されました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.invalidxmlparamtomodifyusercommand","ユーザー・コマンドの修正に無効なXMLパラメータが提供されました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.invokemodulecommandname","カスタム・コマンドを呼び出します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.keepalivesnotenabled","Keep-Alive は無効です"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.listcryptokeyscommandname","暗号キーをリストします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.listeningforbroadcasts","アドミン・サービスはポート {0,number,####} でブロードキャストを待ち受けています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.listeningonport","アドミン・サービス待ち受けポート {0,number,####}, SSL {1}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.listlookuptablescommandname","ルックアップ・テーブルをリストします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.listprivatekeyscommandname","秘密鍵をリストします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.listtrustedcertscommandname","信頼証明書をリストします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.listwebservicescommandname","Webサービスをリストします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.listwebserviceuserscommandname","Webサービスのユーザーをリストします"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.loadingfromsystem","システム名 ''{2}'' から、{0} が ''{1}'' をロードしています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logattempteddownloadfilenotfound","存在しないファイル ''{0}'' のダウンロードしようとしています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logattemptingdownloadnotinconfigdir","設定ディレクトリーにないファイル ''{0}'' をダウンロードしようとしました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logcannotconfigurecommpointdoesnotexist","コミュニケーションが存在しないため、設定できません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logcommpointconfiguredincorrectly","コミュニケーションポイント ''{0}'' は正しく設定されていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logcouldnotcheckincommpointnotfound","コミュニケーションポイントが存在しないため、チェックインできませんでした"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logcouldnotcommitaddedscheme","追加スキ-ムをコミットできませんでした"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logcouldnotcommitnewdeliveryagentglobal","新規配信エージェント・グローバルの設定をコミットできませんでした"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logcouldnotcommitremovedscheme","消去したスキームをコミットできませんでした"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logcouldnotcommitupdatedscheme","更新したスキームをコミットできませんでした"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logcouldnotcreatecommpointtotestconfig","テスト設定のコミュニケーションポイントを作成できませんでした"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logcouldnotdeletecommpointdoesnotexist","コミュニケーションポイントID = ''{0}'' は存在しないため削除できませんでした"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logcouldnotdeleteroutedoesnotexist","ルート ''{0}'' は存在しないため削除できませんでした"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logcouldnotdeserialsisetestsettings","配信エージェントのテスト設定をデシリアライズできませんでした"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logcouldnotfindnotificationschemeforroute","このルート指定の通知スキームは見つかりませんでした"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logcouldnotsetdeliveryagentglobal","配信エージェント・グローバルの設定ができませんでした"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logcouldnotstartcommpointnotfound","コミュニケーションポイント ''{0}'' は存在しないため、起動できませんでした"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logencodingerror","エンコーディング・エラー"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logencodingerroraddingschemeconfig","スキーム設定を追加中にエンコーディング・エラーが発生: ''{0}''."
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerroraddinginputcommpoint","ルートにインプット・コムポイントを追加中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerroraddingoutputcommpoint","ルートにアウトプット・コムポイントを追加中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorcommittingupdatedconfig","更新済みの設定をコミット中にエラーが発生"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorcreatingcommpoint","コミュニケーションポイント ''{0}'' を作成中にエラーが発生"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorcreatingroute","ルート ''{0}'' を作成中にエラーが発生"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrordeletingroute","ルート ''{0}'' を削除中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrordeserialisingnotificationxml","通知スキームXMLをデシリアライズ中にエラーが発生"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrordeserialisingwsconfig","Webサービス設定をデシリアライズ中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorfindingnotificationschemeforcommpoint","このコミュニケーションポイント指定の通知スキームは見つかりませんでした"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorparsinggeneratewsdlparam","WSDLコマンド引数の生成を構文解析中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorparsingparsewsdlcommand","WSDLコマンド引数の構文解析を構文解析中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorprocessingnewcommand","新規コマンド ''{0}'' を処理中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorremovingoutputcommpoint","アウトプット・コム・ポイントを消去中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorremovingreceivingroute","受信ルートを消去中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorrenamingdoesnotexist","設定ファイルの名前変更エラー - ファイルが存在しません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorserialisingresponse","WSDLコマンド構文解析への応答をシリアル化中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorserialisingresponsetogeneratewsdlcommand","WSDLコマンド生成への応答をシリアル化中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorserialisingwebservice","Webサービス ''{0}'' をシリアル化中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorserialisingwsuserstore","Webサービスのユーザー・ストアをシリアル化中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorsettingcommpointproperty","コミュニケーションポイント・プロパティを設定中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorsettingfirstfilter","最初のフィルタを設定中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logerrorsettingrouteproperty","ルート・プロパティを設定中にエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.loggedinuser","ログインしました: ユーザー {0}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.loggedinuserfrom","ログインしました:ユーザー {0} がここから: {1} "
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logginginnewuser","''{0}'' から新規ユーザーがログインしています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.loginvalidadminsession","無効なアドミン・セッション、タイムアウトの可能性がいあります"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.loginvalidcommandstring","無効なコマンド文字列 ''{0}''"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.loginvalidxpathexpression","無効なXPath表現"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logioerroraddingauxfiletofilestore","ファイルストアに補助ファイルを追加しようとした時にIOエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logioerrordownloadingfile","ファイル ''{0}'' をダウンロード中にIOエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logioerrorparsingwsdlforwsconsumer","Webサービス・コンシューマのWSDLを構文解析中にI/Oエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logmustaddfiletofilestore","ファイルは必ずファイルストアに追加してください(''{0}'' に追加しようとしました)"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logmustcopytoresourcesetinhierarchy","必ず設定ディレクトリー階層の中に設定されたソースから、またはソースにファイルをコピーしてください"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.lognopermissiontosetcommpointproperty","コミュニケーションポイント・プロパティを設定する権限はありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.lognopermissiontosetrouteproperty","ルート・プロパティを設定する権限はありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.lognopermissiontoupdatedeliveryagentglobal","配信エージェント・グローバル設定を更新する権限はありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logproblemstartingcommpoint","コミュニケーションポイントを起動中に問題発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logsecurityerrorgeneratingmessagetemplates","メッセージ・テンプレートを生成中にセキュリティ・エラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logsecurityerrorparsingwsdlforwsconsumer","Webサービス・コンシューマのWSDLを構文解析中にセキュリティ・エラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logsecurityerrorretrievingcertinfo","証明書情報を読み出し中にセキュリティー・エラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logserialisationerroraddingschemeconfig","スキーム設定を追加中にシリアル化エラーが発生しました: ''{0}''."
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logunknowncommpointconfiguredincorrectly","不明なコミュニケーションポイントが正しく設定されていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.loguploadedfilenotsupported","エラー：アップロードしたファイルはRhapsody 4でサポートされていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logwsidcouldnotbeparsedasint","Webサービス識別子 ''{0}'' は構文解析できません。 設定を読み出し中に Interger として構文解析できませんでした。"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.logxmlerrorparsingwsdlforwsconsumer","Webサービス・コンシューマのWSDLを構文解析中にXMLエラーが発生しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.lookuptablealreadyexists","ルックアップ・テーブル ''{0}'' はすでに存在しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.lookuptablecolumnnamemissing","ルックアップ・テーブルの列名が欠落しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.lookuptablecolumnnametoolong","ルックアップ・テーブルの列名 {0} は許容の長さを超えています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.lookuptablenameinvalid","ルックアップデーブル名は数字で開始できません。また、名前には文字、数字、ホワイトスペース以外の文字のみ含められます: {0}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.lookuptablenamemissing","ルックアップ・テーブル名が欠落しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.lookuptablenametoolong","ルックアップ・テーブル名 {0} は許容の長さを超えています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.makecommunicationpointcommandname","コミュニケーションポイントを作ります"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.makefiltercommandname","フィルタを作成"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.makeroutecommandname","ルートを作成"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.masteradminsocketshutdown","マスター・アドミン・ソケットをシャットダウン"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.maxcommandlengthexceeded","最大コマンド長を超えています: {0}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.maxcommandparamsexceeded","最大コマンドパラメータを超えています: {0}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.maxinvalidcommandsexceeded","連続した不正なコマンドの最大数を超えました。{0} からの接続を切断します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.migratenotificationschemecommandname","通知スキームを移行します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.missingwsdl","WSDLが欠落しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.missingwsdlpathname","WSDLパス名が欠落しています"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.modifiedlookuptable","ルックアップ・テーブルを修正しました: {0}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.modifieduser","ユーザー ''{0}'' を修正しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.modifiedwebservice","Webサービス ''{0}'' を修正しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.modifiedwebservicesuserstore","Webサービス・ユーザーストアを修正しました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.modifygroupcommandname","グループ・コマンドを修正します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.modifylookuptablecommandname","ルックアップ・テーブル・プロパティを修正します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.modifyusercommandname","ユーザー・コマンドを修正します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.modifywebservicescommandname","Webサービスを修正します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.modifywebservicesuserstorecommandname","Webサービス・ユーザーストアを修正します"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.mustbecheckedoutbeforeupdating","通知スキームを更新する前に、チェックアウトしなければなりません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.needhigherideversion","このエンジンに接続するには、バージョン {0} もしくはこれ以上のIDEが必要です"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.newlycreatedlookuptablenotcommitted","新規作成したルックアップ・テーブルはまだコミットされていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.newlycreatedwsnotcommitted","新規作成したWebサービスはまだコミットされていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.nocertfoundwithalias","エイリアス ''{0}'' の証明書が見つかりません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.nocontentincompresseddata","読み込み中の圧縮データにコンテントがありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.nooperationcommandname","No Operation"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.nopermissiontocreatelookuptables","ユーザー {0} にルックアップ・テーブルを作成する権限がありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.nopermissiontocreateormodifylookup","ユーザー {0} にルックアップ・テーブルを作成、または修正する権限がありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.noprivilegestoperformaction","この操作を行う権限がありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.noresponsetokeepaliveping","アドミン・クライアントからKeep-Alive Pingに対する応答がありません - 接続を閉じます"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.nosuchcommpointexists","そのようなコミュニケーションポイントは存在しません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.notificationschemecheckoutfailed","別の人がすでにこの通知スキームをチェックアウトしたため、チェックアウトできません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.notimplemented","実装されていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.notimplementedoninternaladminsession","InternalAdministrationSession上で実装されていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.nowritepermissionforcommpoint","コミュニケーションポイント ''{0}'' に対する書き込み権限がありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.nowritepermissionforcomponent","ID {0} のコンポーネントに対する書き込み権限がありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.nowritepermissionforroute","ルート ''{0}'' への書き込み権限がありません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.nowritepermissionforthisoperation","このオペレーションへの書き込み権限がありません。別のアドミン・セッションでコンポーネントがチェックアウトされました"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.nowsfoundwithid","ID ''{0}'' のWebサービスが見つかりません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.nowsincludedinmodifywscommand","Webサービス修正コマンドにWebサービスが含まれていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.nullcommandspecifier","ここからのNull コマンド指定子です: {0}"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.nullvalueforprimitivetype","プリミティブ型が null 値？"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.onecolumnmustbedefined","ルックアップ・テーブル {0} に少なくとも一つの列を定義する必要があります"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.onlycommpointmodulecommandssupported","現状ではコミュニケーションポイント・モジュール・コマンドのみがサポートされます"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.paramsdidnotcontainconditiontocompile","引数にコンパイルする条件が含まれていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.paramsdidnotcontainconditiontotest","引数にテストする条件が含まれていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.paramsdidnotcontaininputmsgtotest","引数にテストするインプット・メッセージが含まれていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.paramsdidnotcontainlogginglevel","引数にログのレベルが含まれていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.paramsdidnotcontainrouteid","引数にルートIDが含まれていません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.paramsdidnotcontaintimeoutgreaterthanzero","引数にタイムアウトが含まれていません > 0."
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.paramsmusthaveauxfiles","引数に補助ファイルがなけばなりません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.paramsmusthaveconfig","引数に設定がなければなりません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.paramsmusthavefiltername","引数にフィルタ名がなければなりません"
"com.orchestral.rhapsody.admin.i18n.storedkey_4_2.paramsmusthavefiltertypeid","引数にフィルタ・タイプIDがなければなりません"
